2023-11-24T15:46:22.797791-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | GToolkitForPharo9 | github://feenkcom/gtoolkit:main/src | CommandLine handler process
2023-11-24T15:46:56.575599-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | GToolkitExamplesEngine | github://feenkcom/gtoolkit-examples:main/src | CommandLine handler process
2023-11-24T15:46:56.575625-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | BlocExamples | github://feenkcom/Bloc:main/src | CommandLine handler process
2023-11-24T15:46:56.575702-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | BlocPac | github://feenkcom/bloc-pac:main/src | CommandLine handler process
2023-11-24T15:46:58.451018-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | BlocPac | github://feenkcom/bloc-pac:main/src | CommandLine handler process
2023-11-24T15:46:58.481285-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | Bloc | github://feenkcom/Bloc:main/src | CommandLine handler process
2023-11-24T15:46:58.482346-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | Beacon | github://feenkcom/pharo-beacon/repository | CommandLine handler process
2023-11-24T15:46:58.482527-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | SpartaSkia | github://feenkcom/Sparta:main/src | CommandLine handler process
2023-11-24T15:46:58.482584-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | BlocPac | github://feenkcom/bloc-pac:main/src | CommandLine handler process
2023-11-24T15:46:58.482658-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | BlocPacExamples | github://feenkcom/bloc-pac:main/src | CommandLine handler process
2023-11-24T15:46:58.482968-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | BlocPacExamples | github://feenkcom/bloc-pac:main/src | CommandLine handler process
2023-11-24T15:46:58.50938-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | BlocPac | github://feenkcom/bloc-pac:main/src | CommandLine handler process
2023-11-24T15:46:58.509656-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | BlocExamples | github://feenkcom/Bloc:main/src | CommandLine handler process
2023-11-24T15:46:58.509824-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | BlocPacExamples | github://feenkcom/bloc-pac:main/src | CommandLine handler process
2023-11-24T15:46:58.50991-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | GToolkitResourcesUtility | github://feenkcom/gtoolkit-utility:main/src | CommandLine handler process
2023-11-24T15:47:00.129286-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | GToolkitResourcesUtility | github://feenkcom/gtoolkit-utility:main/src | CommandLine handler process
2023-11-24T15:47:00.157144-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | GToolkitResourcesUtility | github://feenkcom/gtoolkit-utility:main/src | CommandLine handler process
2023-11-24T15:47:00.157436-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | Brick | github://feenkcom/Brick:main/src | CommandLine handler process
2023-11-24T15:47:00.157984-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | GToolkit4Pharo | github://feenkcom/gt4pharo:main/src | CommandLine handler process
2023-11-24T15:47:02.837939-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | GToolkit4Pharo | github://feenkcom/gt4pharo:main/src | CommandLine handler process
2023-11-24T15:47:02.87328-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | Futures | github://feenkcom/pharo-futures:main/src | CommandLine handler process
2023-11-24T15:47:02.874384-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | GToolkitExamplesEngine | github://feenkcom/gtoolkit-examples:main/src | CommandLine handler process
2023-11-24T15:47:02.874562-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | GToolkitCoder | github://feenkcom/gtoolkit-coder:main/src | CommandLine handler process
2023-11-24T15:47:06.149983-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | GToolkitCoder | github://feenkcom/gtoolkit-coder:main/src | CommandLine handler process
2023-11-24T15:47:06.17953-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | Futures | github://feenkcom/pharo-futures:main/src | CommandLine handler process
2023-11-24T15:47:06.179847-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | GToolkitBasicUtility | github://feenkcom/gtoolkit-utility:main/src | CommandLine handler process
2023-11-24T15:47:06.180366-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | GToolkitBasicUtility | github://feenkcom/gtoolkit-utility:main/src | CommandLine handler process
2023-11-24T15:47:06.210934-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | GToolkitBasicUtility | github://feenkcom/gtoolkit-utility:main/src | CommandLine handler process
2023-11-24T15:47:06.211856-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | GToolkitAnnouncerUtility | github://feenkcom/gtoolkit-utility:main/src | CommandLine handler process
2023-11-24T15:47:06.212495-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | GToolkitAnnouncerUtility | github://feenkcom/gtoolkit-utility:main/src | CommandLine handler process
2023-11-24T15:47:06.228002-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | GToolkitBasicUtility | github://feenkcom/gtoolkit-utility:main/src | CommandLine handler process
2023-11-24T15:47:06.228049-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | GToolkitAnnouncerUtility | github://feenkcom/gtoolkit-utility:main/src | CommandLine handler process
2023-11-24T15:47:06.228167-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | GToolkitNotifications | github://feenkcom/gtoolkit-notifications:main/src | CommandLine handler process
2023-11-24T15:47:08.001978-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | GToolkitNotifications | github://feenkcom/gtoolkit-notifications:main/src | CommandLine handler process
2023-11-24T15:47:08.030081-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | Brick | github://feenkcom/Brick:main/src | CommandLine handler process
2023-11-24T15:47:08.030394-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | GToolkitBasicUtility | github://feenkcom/gtoolkit-utility:main/src | CommandLine handler process
2023-11-24T15:47:08.030643-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | GToolkitAnnouncerUtility | github://feenkcom/gtoolkit-utility:main/src | CommandLine handler process
2023-11-24T15:47:08.030669-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | GToolkitNotifications | github://feenkcom/gtoolkit-notifications:main/src | CommandLine handler process
2023-11-24T15:47:08.03075-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | GToolkitPager | github://feenkcom/gtoolkit-pager:main/src | CommandLine handler process
2023-11-24T15:47:09.986909-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | GToolkitPager | github://feenkcom/gtoolkit-pager:main/src | CommandLine handler process
2023-11-24T15:47:10.010378-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | GToolkitPhlow | github://feenkcom/gtoolkit-phlow:main/src | CommandLine handler process
2023-11-24T15:47:12.691103-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | GToolkitPhlow | github://feenkcom/gtoolkit-phlow:main/src | CommandLine handler process
2023-11-24T15:47:12.719379-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | Brick | github://feenkcom/Brick:main/src | CommandLine handler process
2023-11-24T15:47:12.719837-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | GToolkitUtility | github://feenkcom/gtoolkit-utility:main/src | CommandLine handler process
2023-11-24T15:47:12.720484-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | GToolkitUtility | github://feenkcom/gtoolkit-utility:main/src | CommandLine handler process
2023-11-24T15:47:12.747802-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | GToolkitBasicUtility | github://feenkcom/gtoolkit-utility:main/src | CommandLine handler process
2023-11-24T15:47:12.748119-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | GToolkitAnnouncerUtility | github://feenkcom/gtoolkit-utility:main/src | CommandLine handler process
2023-11-24T15:47:12.748336-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | GToolkitAssertionUtility | github://feenkcom/gtoolkit-utility:main/src | CommandLine handler process
2023-11-24T15:47:12.748813-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | GToolkitAssertionUtility | github://feenkcom/gtoolkit-utility:main/src | CommandLine handler process
2023-11-24T15:47:12.770511-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | GToolkitAssertionUtility | github://feenkcom/gtoolkit-utility:main/src | CommandLine handler process
2023-11-24T15:47:12.77068-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | GToolkitFileUtility | github://feenkcom/gtoolkit-utility:main/src | CommandLine handler process
2023-11-24T15:47:12.770934-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | GToolkitFileUtility | github://feenkcom/gtoolkit-utility:main/src | CommandLine handler process
2023-11-24T15:47:12.790663-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | GToolkitResourcesUtility | github://feenkcom/gtoolkit-utility:main/src | CommandLine handler process
2023-11-24T15:47:12.790923-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | GToolkitAssertionUtility | github://feenkcom/gtoolkit-utility:main/src | CommandLine handler process
2023-11-24T15:47:12.791126-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | FFICHeaderExtractor | github://pharo-contributions/FFICHeaderExtractor:v1.0.2/repository | CommandLine handler process
2023-11-24T15:47:14.062331-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | FFICHeaderExtractor | github://pharo-contributions/FFICHeaderExtractor:v1.0.2/repository | CommandLine handler process
2023-11-24T15:47:14.089819-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | FFICHeaderExtractor | github://pharo-contributions/FFICHeaderExtractor:v1.0.2/repository | CommandLine handler process
2023-11-24T15:47:14.090081-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | GToolkitFileUtility | github://feenkcom/gtoolkit-utility:main/src | CommandLine handler process
2023-11-24T15:47:14.090786-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | GToolkitResourcesUtility | github://feenkcom/gtoolkit-utility:main/src | CommandLine handler process
2023-11-24T15:47:14.09083-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | GToolkitUtility | github://feenkcom/gtoolkit-utility:main/src | CommandLine handler process
2023-11-24T15:47:14.090992-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | GToolkitBasicUtility | github://feenkcom/gtoolkit-utility:main/src | CommandLine handler process
2023-11-24T15:47:14.091009-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | GToolkitPhlow | github://feenkcom/gtoolkit-phlow:main/src | CommandLine handler process
2023-11-24T15:47:14.091117-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | GToolkitBasicUtility | github://feenkcom/gtoolkit-utility:main/src | CommandLine handler process
2023-11-24T15:47:14.091131-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | GToolkitPager | github://feenkcom/gtoolkit-pager:main/src | CommandLine handler process
2023-11-24T15:47:14.091199-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | GToolkitCompleter | github://feenkcom/gtoolkit-completer:main/src | CommandLine handler process
2023-11-24T15:47:16.654178-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | GToolkitCompleter | github://feenkcom/gtoolkit-completer:main/src | CommandLine handler process
2023-11-24T15:47:16.679454-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | Brick | github://feenkcom/Brick:main/src | CommandLine handler process
2023-11-24T15:47:16.679694-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | GToolkitCompleter | github://feenkcom/gtoolkit-completer:main/src | CommandLine handler process
2023-11-24T15:47:16.680045-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | GToolkit4Magritte | github://feenkcom/gt4magritte:main/src | CommandLine handler process
2023-11-24T15:47:18.470191-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | GToolkit4Magritte | github://feenkcom/gt4magritte:main/src | CommandLine handler process
2023-11-24T15:47:18.497833-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | MagritteForGToolkit | github://feenkcom/magritte:feenk/source | CommandLine handler process
2023-11-24T15:47:20.114325-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | MagritteForGToolkit | github://feenkcom/magritte:feenk/source | CommandLine handler process
2023-11-24T15:47:20.143335-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | GreaseForGToolkit | github://feenkcom/Grease:feenk/repository | CommandLine handler process
2023-11-24T15:47:22.25265-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | GreaseForGToolkit | github://feenkcom/Grease:feenk/repository | CommandLine handler process
2023-11-24T15:47:22.317651-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | GreaseForGToolkit | github://feenkcom/Grease:feenk/repository | CommandLine handler process
2023-11-24T15:47:22.317849-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | MagritteForGToolkit | github://feenkcom/magritte:feenk/source | CommandLine handler process
2023-11-24T15:47:22.318471-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | Brick | github://feenkcom/Brick:main/src | CommandLine handler process
2023-11-24T15:47:22.318669-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | GToolkitCompleter | github://feenkcom/gtoolkit-completer:main/src | CommandLine handler process
2023-11-24T15:47:22.318777-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | GToolkitBasicUtility | github://feenkcom/gtoolkit-utility:main/src | CommandLine handler process
2023-11-24T15:47:22.31879-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | GToolkit4Magritte | github://feenkcom/gt4magritte:main/src | CommandLine handler process
2023-11-24T15:47:22.318803-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | GToolkitCoder | github://feenkcom/gtoolkit-coder:main/src | CommandLine handler process
2023-11-24T15:47:22.318901-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | GToolkitCompleter | github://feenkcom/gtoolkit-completer:main/src | CommandLine handler process
2023-11-24T15:47:22.318984-05:00 GtRlClonerBaselineSkipLoadSignal | ClonerEvent | GToolkit4Magritte | github://feenkcom/gt4magritte:main/src | CommandLine handler process
2023-11-24T15:47:22.319029-05:00 GtRlClonerBaselineLoadStartedSignal | ClonerEvent | SmaCCRuntime | github://j-brant/SmaCC | CommandLine handler process
2023-11-24T15:47:25.024191-05:00 GtRlClonerBaselinePackageLoadSignal | ClonerEvent | SmaCCRuntime | github://j-brant/SmaCC | CommandLine handler process
2023-11-24T15:47:25.05996-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | SmaCCRuntime | github://j-brant/SmaCC | CommandLine handler process
2023-11-24T15:47:25.060259-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | GToolkit4Pharo | github://feenkcom/gt4pharo:main/src | CommandLine handler process
2023-11-24T15:47:25.060515-05:00 GtRlClonerBaselineLoadCompletedSignal | ClonerEvent | GToolkitPresenter | github://feenkcom/gtoolkit-presenter:main/src | CommandLine handler process
